JMÉNO;PŘÍJMENÍ;SMLOUVA;POZICE;TÝM;VĚK;DRŽENÍ HOLE;NÁRODNOST;Foto;Zdroj
Luke;Witkowski;26/27;O;KOM;36;P;USA;;
Libor;Zábranský;27/28;O;KOM;25;P;CZE;;
Lukáš;Cingel;26/27;C;KOM;33;L;SVK;;
Maxim;Čajkovič;26/27;RW;KOM;25;P;SVK;;
Jan;Ekrt;26/27;C;KOM;21;P;CZE;;
Jakub;Flek;27/28+1;LW/RW;KOM;33;L;CZE;;
Michal;Hartl;J;C/W;KOM;16;P;CZE;;
Danny;Chludil;26/27+1;LW;KOM;19;L;CZE;;
Arttu;Ilomaki;26/27;C/RW;KOM;34;P;CZE;;
Andrej;Kollár;26/27;C/W;KOM;26;P;CZE;;
Michal;Kunc;26/27;LW/RW;KOM;25;L;CZE;;
Silvester;Kusko;27/28;C/LW;KOM;31;L;SVK;;
Robert;Leino;26/27;C;KOM;33;P;FIN;;
David;Moravec;26/27;LW;KOM;20;L;CZE;;
Kristián;Pospíšil;26/27;LW;KOM;30;L;SVK;;
Jan;Suss;26/27;C;KOM;27;L;CZE;;
Adam;Zbořil;27/28;C/LW;KOM;30;L;CZE;;
Hynek;Zohorna;26/27;RW/C;KOM;35;P;CZE;;
Tomáš;Zohorna;26/27+1;C/LW;KOM;38;L;CZE;;
Dominik;Frodl;28/29;B;KVA;30;L;CZE;;
Daniel;Král;26/27;B;KVA;22;L;CZE;;
Elmeri;Eronen;26/27+1;O;KVA;31;P;FIN;;
Janis;Jaks;26/27;O;KVA;30;P;LOT;;
Matte;Kočí;29/30;O;KVA;20;L;CZE;;
Roberts;Mamčics;26/27;O;KVA;31;L;LOT;;
Josef;Myšák;26/27;O;KVA;26;L;CZE;;
Tobias;Winberg;26/27+1;O;KVA;27;L;FIN;;
Ondřej;Beránek;27/28;LW/RW;KVA;30;L;CZE;;
Jan;Bambula;27/28;LW;KVA;25;L;CZE;;
Jiří;Černoch;28/29;C/RW;KVA;29;P;CZE;;
Haralds;Egle;26/27;C/RW;KVA;29;P;LOT;;
Vít;Jiskra;27/28;C/LW;KVA;24;L;CZE;;
Nick;Jones;26/27;C/RW;KVA;29;P;CAN;;
Filip;Koffer;27/28;RW/LW;KVA;25;L;CZE;;
Adam;Lukošík;26/27;LW;KVA;24;L;SVK;;
Jakub;Minárik;26/27;C;KVA;25;L;SVK;;
Tomáš;Redlich;27/28;W;KVA;33;L;CZE;;
Robin;Sapoušek;26/27;C;KVA;22;L;CZE;;
David;Šťastný;26/27;LW;KVA;33;L;CZE;;
Petr;Tomek;J;C;KVA;17;L;CZE;;
Petr;Kváča;26/27;B;LIB;28;L;CZE;;
Petr;Hamalčík;26/27;B;LIB;25;L;CZE;;
Layton;Ahac;26/27;O;LIB;25;L;CAN;;
Tomáš;Galvas;27/28;O;LIB;20;L;CZE;;
Tomáš;Hanousek;26/27+1;O;LIB;27;P;CZE;;
Michal;Ivan;26/27;O;LIB;26;L;SVK;;
Lukáš;Kachlíř;28/29;O;LIB;16;P;CZE;;
Radim;Šimek;29/30;O;LIB;33;L;CZE;;
Denis;Zeman;26/27+1;O;LIB;25;P;CZE;;
Kristaps;Zile;26/27+1;O;LIB;28;L;LOT;;
Martin;Faško-Rudáš;27/28+1;RW/LW;LIB;25;P;SVK;;
Tomáš;Filippi;26/27;C;LIB;34;L;CZE;;
Jakub;Hujer;27/28+1;LW/C;LIB;21;L;CZE;;
Filip;Jansa;27/28;LW;LIB;23;L;CZE;;
Radan;Lenc;27/28;LW/RW;LIB;34;L;CZE;;
Adam;Musil;26/27;C/LW;LIB;29;P;CZE;;
Adam;Najman;27/28;C/LW;LIB;25;L;CZE;;
Jaromír;Peréz;27/28;LW/RW;LIB;20;L;CZE;;
Servác;Petrovský;27/28+1;C/RW;LIB;21;L;SVK;;
Ondřej;Procházka;26/27+1;LW;LIB;28;L;CZE;;
Jaromír;Pytlík;26/27+1;C/RW;LIB;24;P;CZE;;
Filip;Sandberg;26/27;C/RW;LIB;31;P;SWE;;
Jaroslav;Vlach;26/27;LW;LIB;34;L;CZE;;
Pavel;Čajan;26/27+1;B;LIT;23;L;CZE;;
Ondřej;Baláž;26/27;O;LIT;23;L;CZE;;
Vít;Beran;26/27;O;LIT;22;L;CZE;;
Kevin;Czuczman;27/28;O;LIT;35;L;CAN;;
Michal;Moravčík;26/27;O;LIT;31;L;CZE;;
Michal;Plutnar;26/27+1;O;LIT;32;P;CZE;;
Adam;Polášek;27/28;O;LIT;34;L;CZE;;
Jonáš;Bednařík;26/27+1;C;LIT;18;L;CZE;;
David;Kaše;26/27;C/LW;LIT;29;L;CZE;;
Ondřej;Kaše;26/27;RW;LIT;30;P;CZE;;
Petr;Koblasa;27/28;RW;LIT;32;P;CZE;;
Matěj;Maštalířský;26/27;LW/RW;LIT;20;L;CZE;;
Marek;Peroutka;26/27;C/LW;LIT;18;L;CZE;;
Theodor;Pištěk;26/27;RW/LW;LIT;24;P;CZE;;
Jan;Šprynar;26/27;RW;LIT;21;P;CZE;;
Matuš;Sukel;26/27;C;LIT;30;L;SVK;;
Dominik;Furch;26/27;B;MBL;36;L;CZE;;
Vojtěch;Mokry;26/27;B;MBL;24;L;CZE;;
Vojtěch;Budík;26/27;O;MBL;28;L;CZE;;
Adam Martin;Hlinský;26/27;O;MBL;19;L;CZE;;
Adam;Jánošík;27/28;O;MBL;33;L;SVK;;
Karel;Křepelka;27/28;O;MBL;22;P;CZE;;
Šimon;Kubíček;27/28;O;MBL;24;P;CZE;;
David;Moravec;27/28;O;MBL;22;L;CZE;;
Filip;Pavlík;26/27;O;MBL;33;P;CZE;;
Martin;Skarberg;27/28;O;MBL;23;L;SWE;;
Adam;Vlasák;26/27;O;MBL;20;L;CZE;;
Vojtěch;Vochvest;26/27;O;MBL;20;L;CZE;;
Petr;Zámorský;27/28;O;MBL;33;P;CZE;;
Jan;Buchtele;26/27;LW;MBL;35;L;CZE;;
Tomáš;Fořt;27/28;C;MBL;34;L;CZE;;
Matěj;Gardoň;26/27;LW;MBL;22;L;CZE;;
Felikss;Gavars;26/27;F;MBL;24;L;LOT;;
Dávid;Gríger;27/28;C/RW;MBL;31;P;SVK;;
Vojtěch;Hradec;26/27;C;MBL;20;L;CZE;;
Radek;Koblížek;27/28;RW/LW;MBL;28;P;CZE;;
Patrik;Král;26/27;F;MBL;20;L;CZE;;
Dominik;Lakatoš;26/27;RW;MBL;29;L;CZE;;
Jakub;Lichtag;26/27;LW/RW;MBL;24;L;CZE;;
Vojtěch;Malínek;27/28;C;MBL;21;L;CZE;;
Jordan;Martel;26/27+1;RW/LW;MBL;28;P;CAN;;
Imrich;Maxin;J;F;MBL;18;L;CZE;;
Aleksi;Rekonen;27/28;LW/C;MBL;32;L;FIN;;
Pavol;Skalický;28/29;C/RW;MBL;30;P;SVK;;
Jan;Závora;26/27;C;MBL;23;P;CZE;;
Filip;Růžička;26/27+1;B;MHK;18;L;CZE;;
Stanislav;Škorvánek;27/28;B;MHK;30;L;SVK;;
Tomáš;Vomáčka;27/28;B;MHK;27;L;CZE;;
Štěpán;Černý;26/27+1;O;MHK;19;L;CZE;;
