Foto;Jméno;Příjmení;Smlouva;Pozice;Tým;Věk;Držení hole;Národnost;Výška (cm);Váha (kg);Odehrané zápasy;Goly;Asistence;Body;Body z přesilovek;Ø Času na ledě;+/-;Trestné minuty;Hity;Bloky;Úspěšnost vhazování %;Úspěšnost střelby %;Body na zápas;Hity na zápas;Bloky na zápas;Pořadí podle bodu v tymu;Poradi prumerneho casu na lede;Podíl na ofenzivě týmu;Profil Hráče
https://raw.githubusercontent.com/Adamos1511/ELH_web/main/foto_hrac/Andersen.png;Ole Einar Engeland;Andersen;TRY-OUT;O;CBU;27;L;NOR;;;3;0;0;0;0;10:33;-3;0;2;2;0,0;0,0;0;0,67;0,67;15;20;0;Motor ČB
https://raw.githubusercontent.com/Adamos1511/ELH_web/main/foto_hrac/Kachyna.png;Ondřej;Kachyňa;27/28;O;CBU;28;L;CZE;;;3;0;0;0;0;11:55;-1;2;0;4;0,0;0,0;0;0;1,33;15;18;0;Motor ČB
https://raw.githubusercontent.com/Adamos1511/ELH_web/main/foto_hrac/Kundratek.png;Tomáš;Kundrátek;27/28;O;CBU;36;P;CZE;;;2;0;0;0;0;21:29;0;0;1;6;0,0;0,0;0;0,5;3;15;1;0;Motor ČB
https://raw.githubusercontent.com/Adamos1511/ELH_web/main/foto_hrac/Nedorost.png;Václav;Nedorost;J;O;CBU;18;P;CZE;;;0;0;0;0;0;0:00;0;0;0;0;0;0;0;0;0;15;22;0;Motor ČB
https://raw.githubusercontent.com/Adamos1511/ELH_web/main/foto_hrac/Nordsäter.png;Lucas;Nordsäter;26/27;O;CBU;27;L;SWE;;;4;0;1;1;0;14:43;-1;2;2;4;0,0;0,0;0,25;0,5;1;9;11;4,35;Motor ČB
https://raw.githubusercontent.com/Adamos1511/ELH_web/main/foto_hrac/Pycha.png;Pavel;Pýcha;26/27;O;CBU;30;L;CZE;;;4;0;2;2;1;12:04;0;0;0;5;0,0;0,0;0,5;0;1,25;2;16;8,7;Motor ČB
https://raw.githubusercontent.com/Adamos1511/ELH_web/main/foto_hrac/Stencel.png;Jan;Štencel;27/28;O;CBU;31;L;CZE;;;4;1;1;2;1;19:27;2;0;0;7;0,0;8,33;0,5;0;1,75;2;3;8,7;Motor ČB
https://raw.githubusercontent.com/Adamos1511/ELH_web/main/foto_hrac/Vala.png;Ondřej;Vála;27/28;O;CBU;28;L;CZE;;;4;0;0;0;0;19:02;-3;4;0;9;0,0;0,0;0;0;2,25;15;4;0;Motor ČB
https://raw.githubusercontent.com/Adamos1511/ELH_web/main/foto_hrac/Vrablik.png;Roman;Vráblík;27/28;O;CBU;36;L;CZE;;;4;0;1;1;0;20:28;2;0;3;3;0,0;0,0;0,25;0,75;0,75;9;2;4,35;Motor ČB
https://raw.githubusercontent.com/Adamos1511/ELH_web/main/foto_hrac/Ahl.png;Filip;Ahl;26/27+1;LW/RW;CBU;29;L;SWE;;;4;0;1;1;1;14:24;1;0;0;2;0,0;0,0;0,25;0;0,5;9;14;4,35;Motor ČB
