1.kolo;;;;;
;HC Kometa Brno;VS;Bílí Tygři Liberec;;
;;;;;
13.kolo;;;;;
;HC Oceláři Třinec;VS;Banes Motor Č. Budějovice;;
;HC VERVA Litvínov;VS;HC Škoda Plzeň;;
;HC VÍTKOVICE RIDERA;VS;HC Kometa Brno;;
;Rytíři Kladno;VS;HC Dynamo Pardubice;;
;Bílí Tygři Liberec;VS;HC Sparta Praha;;
;HC Olomouc;VS;BK Mladá Boleslav;;
;Mountfield HK;VS;HC Energie Karlovy Vary;;
;;;;;
14.kolo;;;;;
;BK Mladá Boleslav;VS;Banes Motor Č. Budějovice;;
;Rytíři Kladno;VS;HC VÍTKOVICE RIDERA;;
;Bílí Tygři Liberec;VS;HC Škoda Plzeň;;
;Mountfield HK;VS;HC Dynamo Pardubice;;
;HC Sparta Praha;VS;HC Olomouc;;
;HC VERVA Litvínov;VS;HC Kometa Brno;;
;HC Oceláři Třinec;VS;HC Energie Karlovy Vary;;
;;;;;
15.kolo;;;;;
;HC Kometa Brno;VS;HC Oceláři Třinec;;
;HC Dynamo Pardubice;VS;HC VERVA Litvínov;;
;HC Energie Karlovy Vary;VS;BK Mladá Boleslav;;
;HC VÍTKOVICE RIDERA;VS;Bílí Tygři Liberec;;
;Banes Motor Č. Budějovice;VS;Mountfield HK;;
;HC Škoda Plzeň;VS;HC Olomouc;;
;HC Sparta Praha;VS;Rytíři Kladno;;
;;;;;
16.kolo;;;;;
;BK Mladá Boleslav;VS;HC Sparta Praha;;
;Rytíři Kladno;VS;Bílí Tygři Liberec;;
;HC Oceláři Třinec;VS;HC Škoda Plzeň;;
;Mountfield HK;VS;HC Kometa Brno;;
;HC Energie Karlovy Vary;VS;HC Dynamo Pardubice;;
;HC Olomouc;VS;Banes Motor Č. Budějovice;;
;HC VERVA Litvínov;VS;HC VÍTKOVICE RIDERA;;
;;;;;
17.kolo;;;;;
;HC VÍTKOVICE RIDERA;VS;HC Oceláři Třinec;;
;HC Dynamo Pardubice;VS;BK Mladá Boleslav;;
;HC Sparta Praha;VS;HC VERVA Litvínov;;
;HC Škoda Plzeň;VS;Rytíři Kladno;;
;Bílí Tygři Liberec;VS;Mountfield HK;;
;Banes Motor Č. Budějovice;VS;HC Energie Karlovy Vary;;
;HC Kometa Brno;VS;HC Olomouc;;
;;;;;
18.kolo;;;;;
;HC Olomouc;VS;Rytíři Kladno;;
;HC Energie Karlovy Vary;VS;HC Sparta Praha;;
;HC Oceláři Třinec;VS;Bílí Tygři Liberec;;
;Mountfield HK;VS;HC Škoda Plzeň;;
;HC Dynamo Pardubice;VS;HC Kometa Brno;;
;HC VERVA Litvínov;VS;Banes Motor Č. Budějovice;;
;BK Mladá Boleslav;VS;HC VÍTKOVICE RIDERA;;
;;;;;
19.kolo;;;;;
;Rytíři Kladno;VS;HC Oceláři Třinec;;
;Bílí Tygři Liberec;VS;HC VERVA Litvínov;;
;HC Škoda Plzeň;VS;BK Mladá Boleslav;;
;Banes Motor Č. Budějovice;VS;HC Dynamo Pardubice;;
;HC VÍTKOVICE RIDERA;VS;HC Olomouc;;
;HC Kometa Brno;VS;HC Energie Karlovy Vary;;
;HC Sparta Praha;VS;Mountfield HK;;
;;;;;
20.kolo;;;;;
;HC VERVA Litvínov;VS;HC Oceláři Třinec;;
;HC Dynamo Pardubice;VS;HC Škoda Plzeň;;
;HC Energie Karlovy Vary;VS;HC VÍTKOVICE RIDERA;;
;Mountfield HK;VS;Rytíři Kladno;;
;HC Olomouc;VS;Bílí Tygři Liberec;;
;BK Mladá Boleslav;VS;HC Kometa Brno;;
;Banes Motor Č. Budějovice;VS;HC Sparta Praha;;
;;;;;
21.kolo;;;;;
;Bílí Tygři Liberec;VS;BK Mladá Boleslav;;
;HC Škoda Plzeň;VS;HC Energie Karlovy Vary;;
;HC Oceláři Třinec;VS;HC Olomouc;;
;HC Sparta Praha;VS;HC Dynamo Pardubice;;
;HC VÍTKOVICE RIDERA;VS;Mountfield HK;;
;HC Kometa Brno;VS;Banes Motor Č. Budějovice;;
;Rytíři Kladno;VS;HC VERVA Litvínov;;
;;;;;
22.kolo;;;;;
;Mountfield HK;VS;HC Oceláři Třinec;;
;HC Olomouc;VS;HC VERVA Litvínov;;
;Banes Motor Č. Budějovice;VS;HC Škoda Plzeň;;
;HC Dynamo Pardubice;VS;HC VÍTKOVICE RIDERA;;
;HC Sparta Praha;VS;HC Kometa Brno;;
;BK Mladá Boleslav;VS;Rytíři Kladno;;
;HC Energie Karlovy Vary;VS;Bílí Tygři Liberec;;
;;;;;
23.kolo;;;;;
;HC VERVA Litvínov;VS;BK Mladá Boleslav;;
;HC VÍTKOVICE RIDERA;VS;HC Sparta Praha;;
;Rytíři Kladno;VS;HC Energie Karlovy Vary;;
;HC Oceláři Třinec;VS;HC Dynamo Pardubice;;
;Bílí Tygři Liberec;VS;Banes Motor Č. Budějovice;;
;HC Olomouc;VS;Mountfield HK;;
;HC Škoda Plzeň;VS;HC Kometa Brno;;
;;;;;
24.kolo;;;;;
;BK Mladá Boleslav;VS;HC Oceláři Třinec;;
;HC Sparta Praha;VS;HC Škoda Plzeň;;
;Banes Motor Č. Budějovice;VS;HC VÍTKOVICE RIDERA;;
;Mountfield HK;VS;HC VERVA Litvínov;;
;HC Energie Karlovy Vary;VS;HC Olomouc;;
;HC Dynamo Pardubice;VS;Bílí Tygři Liberec;;
;HC Kometa Brno;VS;Rytíři Kladno;;
;;;;;
25.kolo;;;;;
;HC VERVA Litvínov;VS;HC Energie Karlovy Vary;;
;Mountfield HK;VS;BK Mladá Boleslav;;
;HC Oceláři Třinec;VS;HC Sparta Praha;;
;HC VÍTKOVICE RIDERA;VS;HC Škoda Plzeň;;
;HC Olomouc;VS;HC Dynamo Pardubice;;
;Rytíři Kladno;VS;Banes Motor Č. Budějovice;;
;Bílí Tygři Liberec;VS;HC Kometa Brno;;
;;;;;
26.kolo;;;;;
;Banes Motor Č. Budějovice;VS;HC Oceláři Třinec;;
;HC Škoda Plzeň;VS;HC VERVA Litvínov;;
;HC Kometa Brno;VS;HC VÍTKOVICE RIDERA;;
;HC Dynamo Pardubice;VS;Rytíři Kladno;;
;HC Sparta Praha;VS;Bílí Tygři Liberec;;
;BK Mladá Boleslav;VS;HC Olomouc;;
;HC Energie Karlovy Vary;VS;Mountfield HK;;
;;;;;
27.kolo;;;;;
;Banes Motor Č. Budějovice;VS;BK Mladá Boleslav;;
;HC VÍTKOVICE RIDERA;VS;Rytíři Kladno;;
;HC Škoda Plzeň;VS;Bílí Tygři Liberec;;
;HC Dynamo Pardubice;VS;Mountfield HK;;
;HC Olomouc;VS;HC Sparta Praha;;
;HC Kometa Brno;VS;HC VERVA Litvínov;;
;HC Energie Karlovy Vary;VS;HC Oceláři Třinec;;
;;;;;
28.kolo;;;;;
;HC Oceláři Třinec;VS;HC Kometa Brno;;
;HC VERVA Litvínov;VS;HC Dynamo Pardubice;;
;BK Mladá Boleslav;VS;HC Energie Karlovy Vary;;
;Bílí Tygři Liberec;VS;HC VÍTKOVICE RIDERA;;
;Mountfield HK;VS;Banes Motor Č. Budějovice;;
;HC Olomouc;VS;HC Škoda Plzeň;;
;Rytíři Kladno;VS;HC Sparta Praha;;
;;;;;
29.kolo;;;;;
;HC Sparta Praha;VS;BK Mladá Boleslav;;
;Bílí Tygři Liberec;VS;Rytíři Kladno;;
;HC Škoda Plzeň;VS;HC Oceláři Třinec;;
;HC Kometa Brno;VS;Mountfield HK;;
;HC Dynamo Pardubice;VS;HC Energie Karlovy Vary;;
;Banes Motor Č. Budějovice;VS;HC Olomouc;;
;HC VÍTKOVICE RIDERA;VS;HC VERVA Litvínov;;
;;;;;
30.kolo;;;;;
;HC Oceláři Třinec;VS;HC VÍTKOVICE RIDERA;;
;BK Mladá Boleslav;VS;HC Dynamo Pardubice;;
;HC VERVA Litvínov;VS;HC Sparta Praha;;
;Rytíři Kladno;VS;HC Škoda Plzeň;;
;Mountfield HK;VS;Bílí Tygři Liberec;;
;HC Energie Karlovy Vary;VS;Banes Motor Č. Budějovice;;
;HC Olomouc;VS;HC Kometa Brno;;
;;;;;
31.kolo;;;;;
;Rytíři Kladno;VS;HC Olomouc;;
;HC Sparta Praha;VS;HC Energie Karlovy Vary;;
;Bílí Tygři Liberec;VS;HC Oceláři Třinec;;
;HC Škoda Plzeň;VS;Mountfield HK;;
;HC Kometa Brno;VS;HC Dynamo Pardubice;;
;Banes Motor Č. Budějovice;VS;HC VERVA Litvínov;;
;HC VÍTKOVICE RIDERA;VS;BK Mladá Boleslav;;
;;;;;
32.kolo;;;;;
;HC Oceláři Třinec;VS;Rytíři Kladno;;
;HC VERVA Litvínov;VS;Bílí Tygři Liberec;;
;BK Mladá Boleslav;VS;HC Škoda Plzeň;;
;HC Dynamo Pardubice;VS;Banes Motor Č. Budějovice;;
;HC Olomouc;VS;HC VÍTKOVICE RIDERA;;
;HC Energie Karlovy Vary;VS;HC Kometa Brno;;
;Mountfield HK;VS;HC Sparta Praha;;
;;;;;
33.kolo;;;;;
;HC Oceláři Třinec;VS;HC VERVA Litvínov;;
;HC Škoda Plzeň;VS;HC Dynamo Pardubice;;
;HC VÍTKOVICE RIDERA;VS;HC Energie Karlovy Vary;;
;Rytíři Kladno;VS;Mountfield HK;;
;Bílí Tygři Liberec;VS;HC Olomouc;;
;HC Kometa Brno;VS;BK Mladá Boleslav;;
;HC Sparta Praha;VS;Banes Motor Č. Budějovice;;
;;;;;
34.kolo;;;;;
